Monoterpene_EZ,Monoterpene,Time_series,Time_series
Mx_data[][714].d,,tseries.d,tseries.d
137.1325073242;C10H16H+,,,
,36.935,8/4/2019 20:23,43681.84958
,39.6417,8/4/2019 20:23,43681.84959
,62.7499,8/4/2019 20:23,43681.84961
,68.6899,8/4/2019 20:23,43681.84962
,60.882,8/4/2019 20:23,43681.84963
,57.3442,8/4/2019 20:23,43681.84964
,65.5444,8/4/2019 20:23,43681.84965
,52.0759,8/4/2019 20:23,43681.84966
,63.8431,8/4/2019 20:23,43681.84968
,48.3233,8/4/2019 20:23,43681.84969
,54.7678,8/4/2019 20:23,43681.8497
,34.8709,8/4/2019 20:23,43681.84971
,48.1925,8/4/2019 20:23,43681.84972
,36.8854,8/4/2019 20:23,43681.84973
,78.4747,8/4/2019 20:23,43681.84975
,56.6851,8/4/2019 20:23,43681.84976
,36.2825,8/4/2019 20:23,43681.84977
,56.5517,8/4/2019 20:23,43681.84978
,39.259,8/4/2019 20:23,43681.84979
,42.3196,8/4/2019 20:23,43681.8498
,52.6442,8/4/2019 20:23,43681.84981
,49.7739,8/4/2019 20:23,43681.84983
,70.6362,8/4/2019 20:23,43681.84984
,50.1175,8/4/2019 20:23,43681.84985
,44.5867,8/4/2019 20:23,43681.84986
,58.3474,8/4/2019 20:23,43681.84987
,45.6197,8/4/2019 20:23,43681.84988
,42.6875,8/4/2019 20:23,43681.8499
,54.9709,8/4/2019 20:23,43681.84991
,50.4847,8/4/2019 20:23,43681.84992
,36.5116,8/4/2019 20:23,43681.84993
,60.313,8/4/2019 20:23,43681.84994
,38.1189,8/4/2019 20:23,43681.84995
,53.3026,8/4/2019 20:23,43681.84997
,36.8768,8/4/2019 20:23,43681.84998
,55.8285,8/4/2019 20:23,43681.84999
,57.6203,8/4/2019 20:24,43681.85
,45.4865,8/4/2019 20:24,43681.85001
,51.4856,8/4/2019 20:24,43681.85002
,60.3323,8/4/2019 20:24,43681.85003
,65.4585,8/4/2019 20:24,43681.85005
,38.0465,8/4/2019 20:24,43681.85006
,47.1197,8/4/2019 20:24,43681.85007
,48.5198,8/4/2019 20:24,43681.85008
,42.5353,8/4/2019 20:24,43681.85009
,48.1596,8/4/2019 20:24,43681.8501
,56.9957,8/4/2019 20:24,43681.85012
,50.1062,8/4/2019 20:24,43681.85013
,52.3088,8/4/2019 20:24,43681.85014
,50.3002,8/4/2019 20:24,43681.85015
,69.3467,8/4/2019 20:24,43681.85016
,49.9057,8/4/2019 20:24,43681.85017
,40.8961,8/4/2019 20:24,43681.85019
,35.056,8/4/2019 20:24,43681.8502
,41.4141,8/4/2019 20:24,43681.85021
,60.8434,8/4/2019 20:24,43681.85022
,52.6738,8/4/2019 20:24,43681.85023
,48.2701,8/4/2019 20:24,43681.85024
,62.2404,8/4/2019 20:24,43681.85025
,59.3121,8/4/2019 20:24,43681.85027
,38.6902,8/4/2019 20:24,43681.85028
,49.8726,8/4/2019 20:24,43681.85029
,54.8239,8/4/2019 20:24,43681.8503
,41.7905,8/4/2019 20:24,43681.85031
,47.4033,8/4/2019 20:24,43681.85032
,48.9659,8/4/2019 20:24,43681.85034
,38.6105,8/4/2019 20:24,43681.85035
,79.5012,8/4/2019 20:24,43681.85036
,42.7284,8/4/2019 20:24,43681.85037
,46.277,8/4/2019 20:24,43681.85038
,36.4417,8/4/2019 20:24,43681.85039
,52.0147,8/4/2019 20:24,43681.85041
,50.037,8/4/2019 20:24,43681.85042
,47.2458,8/4/2019 20:24,43681.85043
,50.7493,8/4/2019 20:24,43681.85044
,39.959,8/4/2019 20:24,43681.85045
,69.0963,8/4/2019 20:24,43681.85046
,34.2376,8/4/2019 20:24,43681.85047
,52.2509,8/4/2019 20:24,43681.85049
,58.4391,8/4/2019 20:24,43681.8505
,36.8101,8/4/2019 20:24,43681.85051
,49.9952,8/4/2019 20:24,43681.85052
,35.404,8/4/2019 20:24,43681.85053
,51.8464,8/4/2019 20:24,43681.85054
,43.5145,8/4/2019 20:24,43681.85056
,57.3884,8/4/2019 20:24,43681.85057
