BlobID,Compound Name,Category,Label,Group Name,Inclusion,Internal Standard,Retention I (min),Retention II (sec),Peak Value,Volume,Library ID,Library Match Factor,Library Reverse Match Factor,Library Name,Library Probability,Library RI,Library Formula
1093,"Benzenesulfonamide, N-ethyl-2-methyl-",Marine Contaminant,Acutely Toxic,m_not_marine,TRUE,0,43.66669161,2.069999855,3414,61688,62543,810,827,mainlib,82.13999939,,C9H13NO2S
1030,"2-(1,1-Dimethylethyl)-5-oxohexanal",Unknown,,,FALSE,0,31.5000258,0.979999931,3873,62006,27941,744,786,mainlib,12.85999966,,C10H18O2
1085,"2-Undecanone, 6,10-dimethyl-",Unknown,,,FALSE,0,36.00002548,1.059999926,3493,63583,27986,794,833,mainlib,38.11999893,1408,C13H26O
1307,"Phenol, 2-methoxy-",Unknown,,,FALSE,0,24.50002629,1.049999927,2648,63778,86307,700,781,mainlib,14.14000034,1090,C7H8O2
1408,"cis-1,3-Cyclohexanedicarbonitrile",Unknown,,,FALSE,0,40.41669184,1.689999882,2278,63902,18751,617,781,mainlib,13.31000042,,C8H10N2
725,"Benzothiazole, 2-butyl-",Unknown,,,FALSE,0,40.0000252,0.809999943,6495,63970,138639,647,660,mainlib,40.93999863,,C11H13NS
559,"Indan, 6-tert-butyl-4-ethyl-1,1-dimethyl-",Unknown,,,FALSE,0,40.83335848,0.769999946,10581,64261,193031,734,752,mainlib,34.02000046,,C17H26
1347,"Silane, trimethyl-2-thienyl-",Unknown,,,FALSE,0,38.33335865,1.849999871,2499,65918,129007,686,855,mainlib,45.20000076,,C7H12SSi
1115,3-(2-Methyl-propenyl)-1H-indene,Unknown,,,FALSE,0,41.25002511,0.939999934,3519,66050,145358,720,758,mainlib,33.77999878,,C13H14
976,1-Bromo-3-(2-bromoethyl)-nonane,Unknown,,,FALSE,0,38.25002532,1.259999912,4469,66174,2701,649,684,mainlib,29.95000076,,C11H22Br2
658,Dodecanal,Unknown,,,FALSE,0,31.75002578,0.99999993,7574,66758,3047,797,828,mainlib,7.730000019,1409,C12H24O
1410,"3,5-Dimethoxybenzaldehyde",Unknown,,,FALSE,0,37.16669207,1.319999908,2317,66834,155377,766,789,mainlib,52.40000153,,C9H10O3
1142,Nonane,Unknown,,,FALSE,0,16.50002685,1.599999888,3209,66848,7675,805,851,mainlib,17.48999977,900,C9H20
1429,"Octane, 1-chloro-",Unknown,,,FALSE,0,23.41669303,2.14999985,2262,67113,59077,803,819,mainlib,33.72000122,1059,C8H17Cl
1384,"Hexane-2,6-di(isonitrile), 1-(formyloxymethyl)-",Unknown,,,FALSE,0,39.83335855,1.689999882,2420,67282,18647,655,679,mainlib,9.770000458,,C9H12N2O2
974,"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-",Unknown,,,FALSE,0,38.00002534,1.869999869,4405,68040,165354,792,801,mainlib,62.22000122,1471,C14H20O2
